entity_id,entity_type,canonical_name,original_name,source_doc_id,method,confidence,evidence
DoiTuongApDung:33d665603900d76c,DoiTuongApDung,"Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài, chi nhánh doanh nghiệp tái bảo hiểm nước ngoài","Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài, chi nhánh doanh nghiệp tái bảo hiểm nước ngoài",163441,gemini,0.95,"Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài, chi nhánh doanh nghiệp tái bảo hiểm nước ngoài (sau đây gọi là chi nhánh nước ngoài tại Việt Nam)"
DoiTuongApDung:77f9d90a800c4cb0,DoiTuongApDung,Chi nhánh ngân hàng nước ngoài,Chi nhánh ngân hàng nước ngoài,166170,gemini,1.0,2. Chi nhánh ngân hàng nước ngoài.
DoiTuongApDung:77f9d90a800c4cb0,DoiTuongApDung,Chi nhánh ngân hàng nước ngoài,Chi nhánh ngân hàng nước ngoài,27257,gemini,1.0,2. Chi nhánh ngân hàng nước ngoài;
DoiTuongApDung:dc5aeab433827697,DoiTuongApDung,Chi nhánh nước ngoài,Chi nhánh nước ngoài,112025,gemini,1.0,b) Chi nhánh nước ngoài;
DoiTuongApDung:3406f5ef7f8148d6,DoiTuongApDung,Cá nhân có quốc tịch Việt Nam thuộc đối tượng được tham gia chương trình thưởng cổ phiếu phát hành ở nước ngoài,Cá nhân có quốc tịch Việt Nam thuộc đối tượng được tham gia chương trình thưởng cổ phiếu phát hành ở nước ngoài,95652,gemini,0.95,b) Cá nhân có quốc tịch Việt Nam thuộc đối tượng được tham gia chương trình thưởng cổ phiếu phát hành ở nước ngoài.
DoiTuongApDung:05b8e2eb8c60f9d7,DoiTuongApDung,"Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ","Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ",133858,gemini,1.0,"a) Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ;"
DoiTuongApDung:77ace3ba7c332514,DoiTuongApDung,Các cơ quan quản lý nhà nước tham gia quản lý hoạt động đầu tư gián tiếp ra nước ngoài,Các cơ quan quản lý nhà nước tham gia quản lý hoạt động đầu tư gián tiếp ra nước ngoài,95652,gemini,0.9,Các cơ quan quản lý nhà nước tham gia quản lý hoạt động đầu tư gián tiếp ra nước ngoài theo quy định tại Nghị định này.
DoiTuongApDung:3cbb0cf434c6a6b2,DoiTuongApDung,Các doanh nghiệp,Các doanh nghiệp,133858,gemini,1.0,d) Các doanh nghiệp;
DoiTuongApDung:520900a3767bc982,DoiTuongApDung,"Các tổ chức, cá nhân khác có liên quan","Các tổ chức, cá nhân khác có liên quan",112025,gemini,1.0,"d) Các tổ chức, cá nhân khác có liên quan."
DoiTuongApDung:00ca6b38ef91ad2c,DoiTuongApDung,"Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ","Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ",133858,gemini,1.0,"đ) Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ."
DoiTuongApDung:1793566594c226a5,DoiTuongApDung,"Các tổ chức, cá nhân khác có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài","Các tổ chức, cá nhân khác có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài",95652,gemini,0.9,"Các tổ chức, cá nhân khác có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
DoiTuongApDung:77ce377b5662b572,DoiTuongApDung,Các đơn vị có liên quan thuộc Ngân hàng Nhà nước,Các đơn vị có liên quan thuộc Ngân hàng Nhà nước,38128,gemini,1.0,1. Các đơn vị có liên quan thuộc Ngân hàng Nhà nước.
DoiTuongApDung:fc037d7d50633b4d,DoiTuongApDung,Các đơn vị sự nghiệp công lập,Các đơn vị sự nghiệp công lập,133858,gemini,1.0,c) Các đơn vị sự nghiệp công lập;
DoiTuongApDung:0aa17805e775c2f1,DoiTuongApDung,Cơ quan quản lý nhà nước về hoạt động kinh doanh bảo hiểm,Cơ quan quản lý nhà nước về hoạt động kinh doanh bảo hiểm,163441,gemini,0.95,Cơ quan quản lý nhà nước về hoạt động kinh doanh bảo hiểm.
DoiTuongApDung:a9ef9470af8a6432,DoiTuongApDung,"Cơ quan, tổ chức, cá nhân có liên quan đến việc thành lập, tổ chức, hoạt động, can thiệp sớm, kiểm soát đặc biệt, tổ chức lại, giải thể, phá sản tổ chức tín dụng; việc thành lập, tổ chức, hoạt động, can thiệp sớm, giải thể, chấm dứt hoạt động của chi nhánh ngân hàng nước ngoài; việc thành lập, hoạt động của văn phòng đại diện nước ngoài; việc xử lý nợ xấu, tài sản bảo đảm của khoản nợ xấu của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, tổ chức mua bán, xử lý nợ","Cơ quan, tổ chức, cá nhân có liên quan đến việc thành lập, tổ chức, hoạt động, can thiệp sớm, kiểm soát đặc biệt, tổ chức lại, giải thể, phá sản tổ chức tín dụng; việc thành lập, tổ chức, hoạt động, can thiệp sớm, giải thể, chấm dứt hoạt động của chi nhánh ngân hàng nước ngoài; việc thành lập, hoạt động của văn phòng đại diện nước ngoài; việc xử lý nợ xấu, tài sản bảo đảm của khoản nợ xấu của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, tổ chức mua bán, xử lý nợ",166170,gemini,1.0,"5. Cơ quan, tổ chức, cá nhân có liên quan đến việc thành lập, tổ chức, hoạt động, can thiệp sớm, kiểm soát đặc biệt, tổ chức lại, giải thể, phá sản tổ chức tín dụng; việc thành lập, tổ chức, hoạt động, can thiệp sớm, giải thể, chấm dứt hoạt động của chi nhánh ngân hàng nước ngoài; việc thành lập, hoạt động của văn phòng đại diện nước ngoài; việc xử lý nợ xấu, tài sản bảo đảm của khoản nợ xấu của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, tổ chức mua bán, xử lý nợ."
DoiTuongApDung:e5234a26b2267ea6,DoiTuongApDung,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe, doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô","Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe, doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô",163441,gemini,0.95,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
DoiTuongApDung:e78b33fa3b1d1380,DoiTuongApDung,"Doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam","Doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam",30402,gemini,1.0,"2. Doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam (sau đây gọi chung là doanh nghiệp kiểm toán)."
DoiTuongApDung:00c09eeee4f60e78,DoiTuongApDung,Doanh nghiệp môi giới bảo hiểm,Doanh nghiệp môi giới bảo hiểm,112025,gemini,1.0,"c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm;"
DoiTuongApDung:f848899538dd0388,DoiTuongApDung,"Kiểm toán viên đăng ký hành nghề tại doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam","Kiểm toán viên đăng ký hành nghề tại doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam",30402,gemini,1.0,"1. Kiểm toán viên đăng ký hành nghề tại doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam."
DoiTuongApDung:788cda972b363b8b,DoiTuongApDung,Ngân hàng hợp tác xã,Ngân hàng hợp tác xã,168220,gemini,1.0,1. Ngân hàng hợp tác xã.
DoiTuongApDung:12a74c857c5002bd,DoiTuongApDung,Nhà máy in tiền Quốc gia,Nhà máy in tiền Quốc gia,38128,gemini,1.0,2. Nhà máy in tiền Quốc gia.
DoiTuongApDung:dd1668a2792f6d76,DoiTuongApDung,Quỹ tín dụng nhân dân,Quỹ tín dụng nhân dân,168220,gemini,1.0,2. Quỹ tín dụng nhân dân.
DoiTuongApDung:aa4abceebe192865,DoiTuongApDung,Tổ chức kinh tế theo quy định tại Khoản 16 Điều 3 Luật Đầu tư,Tổ chức kinh tế theo quy định tại Khoản 16 Điều 3 Luật Đầu tư,95652,gemini,0.95,a) Tổ chức kinh tế theo quy định tại Khoản 16 Điều 3 Luật Đầu tư;
DoiTuongApDung:65eeb25027cbf444,DoiTuongApDung,"Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ","Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ",166170,gemini,1.0,"4. Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ (sau đây gọi là tổ chức mua bán, xử lý nợ)."
DoiTuongApDung:dd92348657e9f879,DoiTuongApDung,Tổ chức tín dụng,Tổ chức tín dụng,166170,gemini,1.0,1. Tổ chức tín dụng.
DoiTuongApDung:dd92348657e9f879,DoiTuongApDung,Tổ chức tín dụng,Tổ chức tín dụng,27257,gemini,1.0,1. Tổ chức tín dụng;
DoiTuongApDung:f530bd34c8feac51,DoiTuongApDung,Tổ chức và cá nhân có liên quan đến hoạt động kinh doanh bảo hiểm,Tổ chức và cá nhân có liên quan đến hoạt động kinh doanh bảo hiểm,163441,gemini,0.95,Tổ chức và cá nhân có liên quan đến hoạt động kinh doanh bảo hiểm.
DoiTuongApDung:241d45db92d0f08b,DoiTuongApDung,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài thực hiện hành vi vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán","Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài thực hiện hành vi vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán",f69936f0-6937-11f1-a48d-29bc6b0fd706,gemini,0.95,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài (sau đây gọi chung là Tổ chức, cá nhân) thực hiện hành vi vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán quy định tại Nghị định này."
DoiTuongApDung:09bf9ddb86c03b7e,DoiTuongApDung,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài thực hiện hành vi vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán quy định tại Nghị định này","Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài thực hiện hành vi vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán quy định tại Nghị định này",146468,gemini,1.0,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài (sau đây gọi chung là tổ chức, cá nhân) thực hiện hành vi vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán quy định tại Nghị định này."
DoiTuongApDung:9337a65fc2ffde1d,DoiTuongApDung,"Tổ chức, cá nhân có liên quan đến hệ thống kiểm soát nội bộ và kiểm toán nội bộ của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài","Tổ chức, cá nhân có liên quan đến hệ thống kiểm soát nội bộ và kiểm toán nội bộ của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài",27257,gemini,1.0,"3. Tổ chức, cá nhân có liên quan đến hệ thống kiểm soát nội bộ và kiểm toán nội bộ của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài."
DoiTuongApDung:503928a40f4223c4,DoiTuongApDung,"Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này","Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này",168220,gemini,1.0,"3. Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này."
DoiTuongApDung:e001c48f4ebd5ee7,DoiTuongApDung,"Tổ chức, cá nhân có liên quan đến việc đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán","Tổ chức, cá nhân có liên quan đến việc đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán",30402,gemini,1.0,"3. Tổ chức, cá nhân có liên quan đến việc đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán."
DoiTuongApDung:ab3974b5a365a214,DoiTuongApDung,"Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền","Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền",38128,gemini,1.0,"3. Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền."
DoiTuongApDung:504a3841170e7b0f,DoiTuongApDung,"Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam","Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam",163441,gemini,0.95,"Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam (sau đây gọi là văn phòng đại diện nước ngoài tại Việt Nam)."
DoiTuongApDung:0608ee5f0995506f,DoiTuongApDung,"Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng","Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng",166170,gemini,1.0,"3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
DoiTuongApDung:2ee71e567d243604,DoiTuongApDung,đại lý bảo hiểm,đại lý bảo hiểm,112025,gemini,1.0,"c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm;"
DoiTuongApDung:52fbbcfd659c7f90,DoiTuongApDung,"Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương","Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương",133858,gemini,1.0,"b) Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương;"
LinhVuc:e58cb2fd9eae740d,LinhVuc,Bảo hiểm,bảo hiểm,112025,gemini,0.95,tăng cường vai trò tự quản trong lĩnh vực bảo hiểm
LinhVuc:e58cb2fd9eae740d,LinhVuc,Bảo hiểm,Bảo hiểm,163441,metadata,0.95,Bảo hiểm
LinhVuc:f167eafec84f50bf,LinhVuc,Chứng khoán,Chứng khoán,146468,metadata,0.95,Chứng khoán
LinhVuc:a8a943448586d1ff,LinhVuc,Cục An toàn hệ thống các tổ chức tín dụng,Cục An toàn hệ thống các tổ chức tín dụng,177271,metadata,0.95,Cục An toàn hệ thống các tổ chức tín dụng
LinhVuc:a8a943448586d1ff,LinhVuc,Cục An toàn hệ thống các tổ chức tín dụng,Cục An toàn hệ thống các tổ chức tín dụng,186482,metadata,0.95,Cục An toàn hệ thống các tổ chức tín dụng
LinhVuc:a8a943448586d1ff,LinhVuc,Cục An toàn hệ thống các tổ chức tín dụng,Cục An toàn hệ thống các tổ chức tín dụng,186888,metadata,0.95,Cục An toàn hệ thống các tổ chức tín dụng
LinhVuc:529762237875be59,LinhVuc,"Kế toán, kiểm toán","Kế toán, kiểm toán",150974,metadata,0.95,"Kế toán, kiểm toán"
LinhVuc:2dcae8c6ec687c59,LinhVuc,"Lao động, tiền lương, tiền công","Lao động, tiền lương, tiền công",185630,metadata,0.95,"Lao động, tiền lương, tiền công"
LinhVuc:c0f9e26e0e184746,LinhVuc,Phát hành và kho quỹ,Phát hành và kho quỹ,38128,metadata,0.95,Phát hành và kho quỹ
LinhVuc:c0f9e26e0e184746,LinhVuc,Phát hành và kho quỹ,Phát hành và kho quỹ,44209,metadata,0.95,Phát hành và kho quỹ
LinhVuc:8a128ac4a51b65a3,LinhVuc,Quản lý dịch vụ tài chính và các quỹ tài chính,Quản lý dịch vụ tài chính và các quỹ tài chính,30402,metadata,0.95,Quản lý dịch vụ tài chính và các quỹ tài chính
LinhVuc:8ccfee8125131b3b,LinhVuc,Quản lý ngoại hối,Quản lý ngoại hối,169221,metadata,0.95,Quản lý ngoại hối
LinhVuc:b28b7327daf60f0d,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",117310,metadata,0.95,"Thanh tra, giám sát ngân hàng"
LinhVuc:b28b7327daf60f0d,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",164719,metadata,0.95,"Thanh tra, giám sát ngân hàng"
LinhVuc:b28b7327daf60f0d,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",168220,metadata,0.95,"Thanh tra, giám sát ngân hàng"
LinhVuc:b28b7327daf60f0d,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",168859,metadata,0.95,"Thanh tra, giám sát ngân hàng"
LinhVuc:b28b7327daf60f0d,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",173460,metadata,0.95,"Thanh tra, giám sát ngân hàng"
LinhVuc:b28b7327daf60f0d,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",173695,metadata,0.95,"Thanh tra, giám sát ngân hàng"
LinhVuc:b28b7327daf60f0d,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",174218,metadata,0.95,"Thanh tra, giám sát ngân hàng"
LinhVuc:0d62120a72608570,LinhVuc,Tín dụng,Tín dụng,166170,metadata,0.95,Tín dụng
LinhVuc:1cbf588ef90e6511,LinhVuc,chứng khoán và thị trường chứng khoán,chứng khoán và thị trường chứng khoán,f69936f0-6937-11f1-a48d-29bc6b0fd706,gemini,0.95,Quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán
LinhVuc:34086a5d3e269c68,LinhVuc,kinh doanh bảo hiểm,kinh doanh bảo hiểm,112025,gemini,0.95,thi hành một số điều của Luật kinh doanh bảo hiểm
LinhVuc:ce42419f1afa41b6,LinhVuc,đầu tư gián tiếp ra nước ngoài,đầu tư gián tiếp ra nước ngoài,95652,gemini,0.9,Chính phủ ban hành Nghị định quy định về đầu tư giá n tiếp ra nước ngoài.
NguoiKy:b3413b98f1618f39,NguoiKy,Lê Minh Khái,Lê Minh Khái,163441,metadata,0.95,Lê Minh Khái
NguoiKy:5d5bb2cc625a7bea,NguoiKy,Nguyễn Phú Trọng,Nguyễn Phú Trọng,25692,metadata,0.95,Nguyễn Phú Trọng
NguoiKy:5d5bb2cc625a7bea,NguoiKy,Nguyễn Phú Trọng,Nguyễn Phú Trọng,26750,metadata,0.95,Nguyễn Phú Trọng
NguoiKy:4c43e97ac5e5d9e4,NguoiKy,Nguyễn Tấn Dũng,Nguyễn Tấn Dũng,95652,metadata,0.95,Nguyễn Tấn Dũng
NguoiKy:655067862ba3aad2,NguoiKy,Nguyễn Xuân Phúc,Nguyễn Xuân Phúc,112025,metadata,0.95,Nguyễn Xuân Phúc
NguoiKy:655067862ba3aad2,NguoiKy,Nguyễn Xuân Phúc,Nguyễn Xuân Phúc,133858,metadata,0.95,Nguyễn Xuân Phúc
NguoiKy:655067862ba3aad2,NguoiKy,Nguyễn Xuân Phúc,Nguyễn Xuân Phúc,146468,metadata,0.95,Nguyễn Xuân Phúc
NguoiKy:c228466d36db1ef2,NguoiKy,Nguyễn Đồng Tiến,Nguyễn Đồng Tiến,117310,metadata,0.95,Nguyễn Đồng Tiến
NguoiKy:959d4bbdb86a09ff,NguoiKy,Nguyễn Đức Chi,Nguyễn Đức Chi,f69936f0-6937-11f1-a48d-29bc6b0fd706,metadata,0.95,Nguyễn Đức Chi
NguoiKy:1040b986215fe6d2,NguoiKy,Phạm Thanh Hà,Phạm Thanh Hà,169221,metadata,0.95,Phạm Thanh Hà
NguoiKy:e7bab4136f917bbb,NguoiKy,Trần Minh Tuấn,Trần Minh Tuấn,27257,metadata,0.95,Trần Minh Tuấn
NguoiKy:204cb69e10b3d91f,NguoiKy,Trần Xuân Hà,Trần Xuân Hà,112924,metadata,0.95,Trần Xuân Hà
NguoiKy:204cb69e10b3d91f,NguoiKy,Trần Xuân Hà,Trần Xuân Hà,30402,metadata,0.95,Trần Xuân Hà
NguoiKy:6b04007a27283521,NguoiKy,Tạ Anh Tuấn,Tạ Anh Tuấn,150974,metadata,0.95,Tạ Anh Tuấn
NguoiKy:5c44b0b2b9d9fe18,NguoiKy,Vương Đình Huệ,Vương Đình Huệ,166170,metadata,0.95,Vương Đình Huệ
NguoiKy:5c44b0b2b9d9fe18,NguoiKy,Vương Đình Huệ,Vương Đình Huệ,166269,metadata,0.95,Vương Đình Huệ
NguoiKy:22790c33ef170eba,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,164719,metadata,0.95,Đoàn Thái Sơn
NguoiKy:22790c33ef170eba,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,173460,metadata,0.95,Đoàn Thái Sơn
NguoiKy:22790c33ef170eba,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,173695,metadata,0.95,Đoàn Thái Sơn
NguoiKy:22790c33ef170eba,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,174218,metadata,0.95,Đoàn Thái Sơn
NguoiKy:22790c33ef170eba,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,177271,metadata,0.95,Đoàn Thái Sơn
