source,target,target_type,relationship_type,method,confidence,evidence
163441,DoiTuongApDung:0aa17805e775c2f1,DoiTuongApDung,AP_DUNG_CHO,gemini,0.95,Cơ quan quản lý nhà nước về hoạt động kinh doanh bảo hiểm.
163441,DoiTuongApDung:33d665603900d76c,DoiTuongApDung,AP_DUNG_CHO,gemini,0.95,"Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài, chi nhánh doanh nghiệp tái bảo hiểm nước ngoài (sau đây gọi là chi nhánh nước ngoài tại Việt Nam)"
163441,DoiTuongApDung:504a3841170e7b0f,DoiTuongApDung,AP_DUNG_CHO,gemini,0.95,"Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam (sau đây gọi là văn phòng đại diện nước ngoài tại Việt Nam)."
163441,DoiTuongApDung:e41d0a238c6b8cac,DoiTuongApDung,AP_DUNG_CHO,gemini,0.95,"Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng"
163441,DoiTuongApDung:e5234a26b2267ea6,DoiTuongApDung,AP_DUNG_CHO,gemini,0.95,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
163441,DoiTuongApDung:f530bd34c8feac51,DoiTuongApDung,AP_DUNG_CHO,gemini,0.95,Tổ chức và cá nhân có liên quan đến hoạt động kinh doanh bảo hiểm.
166170,DoiTuongApDung:0608ee5f0995506f,DoiTuongApDung,AP_DUNG_CHO,gemini,1.0,"3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
166170,DoiTuongApDung:65eeb25027cbf444,DoiTuongApDung,AP_DUNG_CHO,gemini,1.0,"4. Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ (sau đây gọi là tổ chức mua bán, xử lý nợ)."
166170,DoiTuongApDung:77f9d90a800c4cb0,DoiTuongApDung,AP_DUNG_CHO,gemini,1.0,2. Chi nhánh ngân hàng nước ngoài.
166170,DoiTuongApDung:a9ef9470af8a6432,DoiTuongApDung,AP_DUNG_CHO,gemini,1.0,"5. Cơ quan, tổ chức, cá nhân có liên quan đến việc thành lập, tổ chức, hoạt động, can thiệp sớm, kiểm soát đặc biệt, tổ chức lại, giải thể, phá sản tổ chức tín dụng; việc thành lập, tổ chức, hoạt động, can thiệp sớm, giải thể, chấm dứt hoạt động của chi nhánh ngân hàng nước ngoài; việc thành lập, hoạt động của văn phòng đại diện nước ngoài; việc xử lý nợ xấu, tài sản bảo đảm của khoản nợ xấu của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, tổ chức mua bán, xử lý nợ."
166170,DoiTuongApDung:dd92348657e9f879,DoiTuongApDung,AP_DUNG_CHO,gemini,1.0,1. Tổ chức tín dụng.
168220,DoiTuongApDung:503928a40f4223c4,DoiTuongApDung,AP_DUNG_CHO,gemini,1.0,"3. Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này."
168220,DoiTuongApDung:788cda972b363b8b,DoiTuongApDung,AP_DUNG_CHO,gemini,1.0,1. Ngân hàng hợp tác xã.
168220,DoiTuongApDung:dd1668a2792f6d76,DoiTuongApDung,AP_DUNG_CHO,gemini,1.0,2. Quỹ tín dụng nhân dân.
27257,DoiTuongApDung:77f9d90a800c4cb0,DoiTuongApDung,AP_DUNG_CHO,gemini,1.0,2. Chi nhánh ngân hàng nước ngoài;
27257,DoiTuongApDung:9337a65fc2ffde1d,DoiTuongApDung,AP_DUNG_CHO,gemini,1.0,"3. Tổ chức, cá nhân có liên quan đến hệ thống kiểm soát nội bộ và kiểm toán nội bộ của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài."
27257,DoiTuongApDung:dd92348657e9f879,DoiTuongApDung,AP_DUNG_CHO,gemini,1.0,1. Tổ chức tín dụng;
30402,DoiTuongApDung:e001c48f4ebd5ee7,DoiTuongApDung,AP_DUNG_CHO,gemini,1.0,"3. Tổ chức, cá nhân có liên quan đến việc đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán."
30402,DoiTuongApDung:e78b33fa3b1d1380,DoiTuongApDung,AP_DUNG_CHO,gemini,1.0,"2. Doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam (sau đây gọi chung là doanh nghiệp kiểm toán)."
30402,DoiTuongApDung:f848899538dd0388,DoiTuongApDung,AP_DUNG_CHO,gemini,1.0,"1. Kiểm toán viên đăng ký hành nghề tại doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam."
38128,DoiTuongApDung:12a74c857c5002bd,DoiTuongApDung,AP_DUNG_CHO,gemini,1.0,2. Nhà máy in tiền Quốc gia.
38128,DoiTuongApDung:77ce377b5662b572,DoiTuongApDung,AP_DUNG_CHO,gemini,1.0,1. Các đơn vị có liên quan thuộc Ngân hàng Nhà nước.
38128,DoiTuongApDung:ab3974b5a365a214,DoiTuongApDung,AP_DUNG_CHO,gemini,1.0,"3. Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền."
95652,DoiTuongApDung:1793566594c226a5,DoiTuongApDung,AP_DUNG_CHO,gemini,0.9,"Các tổ chức, cá nhân khác có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
95652,DoiTuongApDung:3406f5ef7f8148d6,DoiTuongApDung,AP_DUNG_CHO,gemini,0.95,b) Cá nhân có quốc tịch Việt Nam thuộc đối tượng được tham gia chương trình thưởng cổ phiếu phát hành ở nước ngoài.
95652,DoiTuongApDung:77ace3ba7c332514,DoiTuongApDung,AP_DUNG_CHO,gemini,0.9,Các cơ quan quản lý nhà nước tham gia quản lý hoạt động đầu tư gián tiếp ra nước ngoài theo quy định tại Nghị định này.
95652,DoiTuongApDung:aa4abceebe192865,DoiTuongApDung,AP_DUNG_CHO,gemini,0.95,a) Tổ chức kinh tế theo quy định tại Khoản 16 Điều 3 Luật Đầu tư;
f69936f0-6937-11f1-a48d-29bc6b0fd706,DoiTuongApDung:241d45db92d0f08b,DoiTuongApDung,AP_DUNG_CHO,gemini,0.95,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài (sau đây gọi chung là Tổ chức, cá nhân) thực hiện hành vi vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán quy định tại Nghị định này."
112025,CoQuan:f74df40699e54ade,CoQuan,BAN_HANH_BOI,metadata,0.95,Chính phủ
112924,CoQuan:3d5ffab80c93014a,CoQuan,BAN_HANH_BOI,metadata,0.95,Bộ Tài chính
117310,CoQuan:523005cda5d223f5,CoQuan,BAN_HANH_BOI,metadata,0.95,Ngân hàng Nhà nước Việt Nam
133858,CoQuan:f74df40699e54ade,CoQuan,BAN_HANH_BOI,metadata,0.95,Chính phủ
143217,CoQuan:3d5ffab80c93014a,CoQuan,BAN_HANH_BOI,metadata,0.95,Bộ Tài chính
146468,CoQuan:f74df40699e54ade,CoQuan,BAN_HANH_BOI,metadata,0.95,Chính phủ
150974,CoQuan:3d5ffab80c93014a,CoQuan,BAN_HANH_BOI,metadata,0.95,Bộ Tài chính
163441,CoQuan:f74df40699e54ade,CoQuan,BAN_HANH_BOI,metadata,0.95,Chính phủ
164719,CoQuan:523005cda5d223f5,CoQuan,BAN_HANH_BOI,metadata,0.95,Ngân hàng Nhà nước Việt Nam
166170,CoQuan:38ee553f44366c90,CoQuan,BAN_HANH_BOI,metadata,0.95,Quốc hội
166269,CoQuan:38ee553f44366c90,CoQuan,BAN_HANH_BOI,metadata,0.95,Quốc hội
168220,CoQuan:523005cda5d223f5,CoQuan,BAN_HANH_BOI,metadata,0.95,Ngân hàng Nhà nước Việt Nam
168859,CoQuan:523005cda5d223f5,CoQuan,BAN_HANH_BOI,metadata,0.95,Ngân hàng Nhà nước Việt Nam
169221,CoQuan:523005cda5d223f5,CoQuan,BAN_HANH_BOI,metadata,0.95,Ngân hàng Nhà nước Việt Nam
173460,CoQuan:523005cda5d223f5,CoQuan,BAN_HANH_BOI,metadata,0.95,Ngân hàng Nhà nước Việt Nam
173695,CoQuan:523005cda5d223f5,CoQuan,BAN_HANH_BOI,metadata,0.95,Ngân hàng Nhà nước Việt Nam
174218,CoQuan:523005cda5d223f5,CoQuan,BAN_HANH_BOI,metadata,0.95,Ngân hàng Nhà nước Việt Nam
177271,CoQuan:523005cda5d223f5,CoQuan,BAN_HANH_BOI,metadata,0.95,Ngân hàng Nhà nước Việt Nam
185630,CoQuan:523005cda5d223f5,CoQuan,BAN_HANH_BOI,metadata,0.95,Ngân hàng Nhà nước Việt Nam
186482,CoQuan:523005cda5d223f5,CoQuan,BAN_HANH_BOI,metadata,0.95,Ngân hàng Nhà nước Việt Nam
186888,CoQuan:523005cda5d223f5,CoQuan,BAN_HANH_BOI,metadata,0.95,Ngân hàng Nhà nước Việt Nam
25692,CoQuan:38ee553f44366c90,CoQuan,BAN_HANH_BOI,metadata,0.95,Quốc hội
26750,CoQuan:38ee553f44366c90,CoQuan,BAN_HANH_BOI,metadata,0.95,Quốc hội
27257,CoQuan:523005cda5d223f5,CoQuan,BAN_HANH_BOI,metadata,0.95,Ngân hàng Nhà nước Việt Nam
30402,CoQuan:3d5ffab80c93014a,CoQuan,BAN_HANH_BOI,metadata,0.95,Bộ Tài chính
38128,CoQuan:523005cda5d223f5,CoQuan,BAN_HANH_BOI,metadata,0.95,Ngân hàng Nhà nước Việt Nam
44209,CoQuan:523005cda5d223f5,CoQuan,BAN_HANH_BOI,metadata,0.95,Ngân hàng Nhà nước Việt Nam
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,CoQuan:523005cda5d223f5,CoQuan,BAN_HANH_BOI,metadata,0.95,Ngân hàng Nhà nước Việt Nam
95652,CoQuan:f74df40699e54ade,CoQuan,BAN_HANH_BOI,metadata,0.95,Chính phủ
f69936f0-6937-11f1-a48d-29bc6b0fd706,CoQuan:3d5ffab80c93014a,CoQuan,BAN_HANH_BOI,metadata,0.95,Bộ Tài chính
112025,NguoiKy:655067862ba3aad2,NguoiKy,KY_BOI,metadata,0.95,Nguyễn Xuân Phúc
112924,NguoiKy:204cb69e10b3d91f,NguoiKy,KY_BOI,metadata,0.95,Trần Xuân Hà
117310,NguoiKy:c228466d36db1ef2,NguoiKy,KY_BOI,metadata,0.95,Nguyễn Đồng Tiến
133858,NguoiKy:655067862ba3aad2,NguoiKy,KY_BOI,metadata,0.95,Nguyễn Xuân Phúc
146468,NguoiKy:655067862ba3aad2,NguoiKy,KY_BOI,metadata,0.95,Nguyễn Xuân Phúc
150974,NguoiKy:6b04007a27283521,NguoiKy,KY_BOI,metadata,0.95,Tạ Anh Tuấn
163441,NguoiKy:b3413b98f1618f39,NguoiKy,KY_BOI,metadata,0.95,Lê Minh Khái
164719,NguoiKy:22790c33ef170eba,NguoiKy,KY_BOI,metadata,0.95,Đoàn Thái Sơn
166170,NguoiKy:5c44b0b2b9d9fe18,NguoiKy,KY_BOI,metadata,0.95,Vương Đình Huệ
166269,NguoiKy:5c44b0b2b9d9fe18,NguoiKy,KY_BOI,metadata,0.95,Vương Đình Huệ
168220,NguoiKy:01413a891169dd0a,NguoiKy,KY_BOI,metadata,0.95,Đào Minh Tú
168859,NguoiKy:01413a891169dd0a,NguoiKy,KY_BOI,metadata,0.95,Đào Minh Tú
169221,NguoiKy:1040b986215fe6d2,NguoiKy,KY_BOI,metadata,0.95,Phạm Thanh Hà
173460,NguoiKy:22790c33ef170eba,NguoiKy,KY_BOI,metadata,0.95,Đoàn Thái Sơn
173695,NguoiKy:22790c33ef170eba,NguoiKy,KY_BOI,metadata,0.95,Đoàn Thái Sơn
174218,NguoiKy:22790c33ef170eba,NguoiKy,KY_BOI,metadata,0.95,Đoàn Thái Sơn
177271,NguoiKy:22790c33ef170eba,NguoiKy,KY_BOI,metadata,0.95,Đoàn Thái Sơn
185630,NguoiKy:22790c33ef170eba,NguoiKy,KY_BOI,metadata,0.95,Đoàn Thái Sơn
186482,NguoiKy:22790c33ef170eba,NguoiKy,KY_BOI,metadata,0.95,Đoàn Thái Sơn
186888,NguoiKy:22790c33ef170eba,NguoiKy,KY_BOI,metadata,0.95,Đoàn Thái Sơn
25692,NguoiKy:5d5bb2cc625a7bea,NguoiKy,KY_BOI,metadata,0.95,Nguyễn Phú Trọng
26750,NguoiKy:5d5bb2cc625a7bea,NguoiKy,KY_BOI,metadata,0.95,Nguyễn Phú Trọng
27257,NguoiKy:e7bab4136f917bbb,NguoiKy,KY_BOI,metadata,0.95,Trần Minh Tuấn
30402,NguoiKy:204cb69e10b3d91f,NguoiKy,KY_BOI,metadata,0.95,Trần Xuân Hà
38128,NguoiKy:01413a891169dd0a,NguoiKy,KY_BOI,metadata,0.95,Đào Minh Tú
44209,NguoiKy:01413a891169dd0a,NguoiKy,KY_BOI,metadata,0.95,Đào Minh Tú
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,NguoiKy:22790c33ef170eba,NguoiKy,KY_BOI,metadata,0.95,Đoàn Thái Sơn
95652,NguoiKy:4c43e97ac5e5d9e4,NguoiKy,KY_BOI,metadata,0.95,Nguyễn Tấn Dũng
f69936f0-6937-11f1-a48d-29bc6b0fd706,NguoiKy:959d4bbdb86a09ff,NguoiKy,KY_BOI,metadata,0.95,Nguyễn Đức Chi
164719,117310,Document,SUA_DOI_BO_SUNG,rule_title,0.95,"Thông tư số 22/2023/TT-NHNN Sửa đổi, bổ sung một số điều của Thông tư số 41/2016/TT-NHNN ngày 30 tháng 12 năm 2016 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định tỷ lệ an toàn vốn đối với ngân hàng, chi nhánh ngân hàng nước ngoài"
169221,44209,Document,SUA_DOI_BO_SUNG,rule_title,0.95,"Thông tư số 43/2024/TT-NHNN sửa đổi, bổ sung một số điều của Thông tư số 01/2014/TT-NHNN ngày 10 tháng 12 năm 2014 của Thống đốc Ngân hàng Nhà nước Việt Nam hướng dẫn việc tổ chức thực hiện hoạt đọng quản lý dự trữ ngoại hối nhà nước."
117310,25692,Document,THAM_CHIEU,rule_can_cu,0.9,"NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 41/2016/TT-NHNN Hà Nội, Ngày 30 tháng 12 năm 2016 THÔNG TƯ Quy định tỷ lệ an toàn vốn đối với ngân hàng, chi nhánh ngân hàng nước ngoài Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ngày 16 tháng 6 năm 2010; Căn cứ Luật các tổ chức tín dụng số 47/2010/QH12 ngày 16 tháng 6 năm 2010; Căn cứ Nghị định số 156/2013/NĐ-CP ngày 11 tháng 11 năm 2013 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam; Theo đề nghị của Chánh Thanh tra, giám sát ngân hàng; Thống đốc Ngân hàng Nhà nước Việt Nam (sau đây gọi là Ngân hàng Nhà nước) ban hành Thông tư quy định tỷ lệ an toàn vốn đối với ngân hàng, chi nhánh ngân hàng nước ngoài."
143217,133858,Document,THAM_CHIEU,rule_can_cu,0.9,"BỘ TÀI CHÍNH Số: 66/2020/TT-BTC BỘ TÀI CHÍNH Số: 66/2020/TT-BTC CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc Hà Nội, ngày 10 tháng 7 năm 2020 THÔNG TƯ Ban hành Quy chế mẫu về kiểm toán nội bộ áp dụng cho doanh nghiệp Căn cứ Luật kế toán số 88/2015/QH 13 ngày 20 tháng 11 năm 2015; Căn cứ Nghị định số 05/2019/NĐ-CP ngày 22 thảng 01 năm 2019 của Chính phủ về kiếm toán nội bộ; Căn cứ Nghị định số 87/2017/NĐ-CP ngày 26 tháng 7 năm 2017 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tố chức của Bộ Tài chính; Theo đề nghị của Cục trưởng Cục Quản lý, giám sát kế toán, kiểm toán; Bộ trưởng Bộ Tài chính ban hành Thông tư ban hành Quy chế mẫu về kiếm toán nội bộ áp dụng cho doanh nghiệp."
150974,133858,Document,THAM_CHIEU,rule_can_cu,0.9,"BỘ TÀI CHÍNH CỘNG HOÀ XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc Số: 8/2021/TT-BTC Hà Nội, ngày 25 tháng 01 năm 2021 THÔNG TƯ Ban hành chuẩn mực kiểm toán nội bộ Việt Nam và các nguyên tắc đạo đức nghề nghiệp kiểm toán nội bộ ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ Căn cứ Luật kế toán số 88/2015/QH13 ngày 20 tháng 11 năm 2015; Căn cứ Nghị định 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiểm toán nội bộ; Căn cứ Nghị định số 87/2017/NĐ-CP ngày 26 tháng 7 năm 2017 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Bộ Tài chính; Theo đề nghị của Cục trưởng Cục Quản lý, giám sát kế toán, kiểm toán; Bộ trưởng Bộ Tài chính ban hành Thông tư ban hành chuẩn mực kiểm toán nội bộ Việt Nam và các nguyên tắc đạo đức nghề nghiệp kiểm toán nội bộ."
27257,25692,Document,THAM_CHIEU,rule_can_cu,0.9,"NGÂN HÀNG NHÀ NƯỚC VIỆT NAM ------- CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc --------------- Số: 44/2011/TT-NHNN Hà Nội, ngày 29 tháng 12 năm 2011 THÔNG TƯ Q uy định về hệ thống kiểm soát nội bộ và kiểm toán nội bộ của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ngày 16 tháng 6 năm 2010; Căn cứ Luật Các tổ chức tín dụng số 47/2010/QH12 ngày 16 tháng 6 năm 2010; Căn cứ Nghị định số 96/2008/NĐ-CP ngày 26/8/2008 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam; Ngân hàng Nhà nước Việt Nam quy định về hệ thống kiểm soát nội bộ và kiểm toán nội bộ của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài như sau: Chương I NHỮNG QUY ĐỊNH CHUNG Điều 1."
30402,26750,Document,THAM_CHIEU,rule_can_cu,0.9,"BỘ TÀI CHÍNH CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 202/2012/TT-BTC Hà Nội, ngày 19 tháng 11 năm 2012 THÔNG TƯ Hướng dẫn về đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán ___________________ Căn cứ Luật Kiểm toán độc lập số 67/2011/QH12 ngày 29 tháng 3 năm 2011; Căn cứ Nghị định số 17/2012/NĐ-CP ngày 13/3/2012 của Chính phủ quy định chi tiết và hướng dẫn thi hành một số điều của Luật kiểm toán độc lập; Căn cứ Nghị định số 118/2008/NĐ-CP ngày 27/11/2008 của Chính phủ Quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Bộ Tài chính; Theo đề nghị của Vụ trưởng Vụ Chế độ kế toán và kiểm toán, Bộ trưởng Bộ Tài chính ban hành Thông tư hướng dẫn về đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán."
38128,25692,Document,THAM_CHIEU,rule_can_cu,0.9,"NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 37/2014/TT-NHNN Hà Nội, Ngày 26 tháng 11 năm 2014 THÔNG TƯ Q uy định việc thiết kế mẫu tiền, chế bản và quản lý in, đúc tiền Việt Nam ____________________ Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ; Căn cứ Nghị định số 156/2013/NĐ-CP ngày 11/11/2013 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam; Căn cứ Nghị định số 40/2012/NĐ-CP ngày 02/5/2012 của Chính phủ về nghiệp vụ phát hành tiền; bảo quản, vận chuyển tài sản quý và giấy tờ có giá trong hệ thống Ngân hàng Nhà nước, tổ chức tín dụng và chi nhánh ngân hàng nước ngoài; Theo đề nghị của Cục trưởng Cục Phát hành và Kho quỹ; Thống đốc Ngân hàng Nhà nước Việt Nam ban hành Thông tư quy định việc thiết kế mẫu tiền, chế bản và quản lý in, đúc tiền Việt Nam."
44209,25692,Document,THAM_CHIEU,rule_can_cu,0.9,"NGÂN HÀNG NHÀ NƯỚC VIỆT NAM ------- CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc --------------- Số: 01/2014/TT-NHNN Hà Nội, ngày 06 tháng 01 năm 2014 THÔNG TƯ Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ngày 16 tháng 6 năm 2010; Căn cứ Luật Các tổ chức tín dụng số 47/2010/QH12 ngày 16 tháng 6 năm 2010; Căn cứ Nghị định số 156/2013/NĐ-CP ngày 11 tháng 11 năm 2013 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam; Căn cứ Nghị định số 40/2012/NĐ-CP ngày 02 tháng 5 năm 2012 của Chính phủ về nghiệp vụ phát hành tiền; bảo quản, vận chuyển tài sản quý và giấy tờ có giá trong hệ thống Ngân hàng Nhà nước, tổ chức tín dụng và chi nhánh ngân hàng nước ngoài; Theo đề nghị của Cục trưởng Cục Phát hành và Kho quỹ; Thống đốc Ngân hàng Nhà nước Việt Nam ban hành Thông tư quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá."
112025,LinhVuc:34086a5d3e269c68,LinhVuc,THUOC_LINH_VUC,gemini,0.95,thi hành một số điều của Luật kinh doanh bảo hiểm
112025,LinhVuc:e58cb2fd9eae740d,LinhVuc,THUOC_LINH_VUC,gemini,0.95,tăng cường vai trò tự quản trong lĩnh vực bảo hiểm
117310,LinhVuc:b28b7327daf60f0d,LinhVuc,THUOC_LINH_VUC,metadata,0.95,"Thanh tra, giám sát ngân hàng"
146468,LinhVuc:f167eafec84f50bf,LinhVuc,THUOC_LINH_VUC,metadata,0.95,Chứng khoán
150974,LinhVuc:529762237875be59,LinhVuc,THUOC_LINH_VUC,metadata,0.95,"Kế toán, kiểm toán"
163441,LinhVuc:e58cb2fd9eae740d,LinhVuc,THUOC_LINH_VUC,metadata,0.95,Bảo hiểm
164719,LinhVuc:b28b7327daf60f0d,LinhVuc,THUOC_LINH_VUC,metadata,0.95,"Thanh tra, giám sát ngân hàng"
166170,LinhVuc:0d62120a72608570,LinhVuc,THUOC_LINH_VUC,metadata,0.95,Tín dụng
168220,LinhVuc:b28b7327daf60f0d,LinhVuc,THUOC_LINH_VUC,metadata,0.95,"Thanh tra, giám sát ngân hàng"
168859,LinhVuc:b28b7327daf60f0d,LinhVuc,THUOC_LINH_VUC,metadata,0.95,"Thanh tra, giám sát ngân hàng"
169221,LinhVuc:8ccfee8125131b3b,LinhVuc,THUOC_LINH_VUC,metadata,0.95,Quản lý ngoại hối
173460,LinhVuc:b28b7327daf60f0d,LinhVuc,THUOC_LINH_VUC,metadata,0.95,"Thanh tra, giám sát ngân hàng"
173695,LinhVuc:b28b7327daf60f0d,LinhVuc,THUOC_LINH_VUC,metadata,0.95,"Thanh tra, giám sát ngân hàng"
174218,LinhVuc:b28b7327daf60f0d,LinhVuc,THUOC_LINH_VUC,metadata,0.95,"Thanh tra, giám sát ngân hàng"
177271,LinhVuc:a8a943448586d1ff,LinhVuc,THUOC_LINH_VUC,metadata,0.95,Cục An toàn hệ thống các tổ chức tín dụng
185630,LinhVuc:2dcae8c6ec687c59,LinhVuc,THUOC_LINH_VUC,metadata,0.95,"Lao động, tiền lương, tiền công"
186482,LinhVuc:a8a943448586d1ff,LinhVuc,THUOC_LINH_VUC,metadata,0.95,Cục An toàn hệ thống các tổ chức tín dụng
186888,LinhVuc:a8a943448586d1ff,LinhVuc,THUOC_LINH_VUC,metadata,0.95,Cục An toàn hệ thống các tổ chức tín dụng
30402,LinhVuc:8a128ac4a51b65a3,LinhVuc,THUOC_LINH_VUC,metadata,0.95,Quản lý dịch vụ tài chính và các quỹ tài chính
38128,LinhVuc:c0f9e26e0e184746,LinhVuc,THUOC_LINH_VUC,metadata,0.95,Phát hành và kho quỹ
44209,LinhVuc:c0f9e26e0e184746,LinhVuc,THUOC_LINH_VUC,metadata,0.95,Phát hành và kho quỹ
95652,LinhVuc:ce42419f1afa41b6,LinhVuc,THUOC_LINH_VUC,gemini,0.9,Chính phủ ban hành Nghị định quy định về đầu tư giá n tiếp ra nước ngoài.
